cluster_level,cluster,random_topic,topic1,topic2,topic3,topic4,topic5,topic6,topic7,choice,is_right,topic8
level 5,9,Magnetic survey (archaeology),Radio navigation,Bon,Double bass,Lists of music inspired by literature,Aesthetics of music,Oral Proficiency Interview,Dance education,Magnetic survey (archaeology),True,Toy theater
level 2,1095,Sociology of literature,Axis–angle representation,Diagonal,Axis,Vertex cover,Exact diagonalization,Medial axis,Vertex (graph theory),Sociology of literature,True,Vertex operator algebra
level 2,1393,Module pattern,Commercialization of the Internet,Internet of things,Internets,Internetworking,Industrial internet of things,Internet slang,Internet genre,Module pattern,True,Internet studies
level 3,31,Spectral line,Bacterial genetics,Bacillus cereus,Microbial cytology,Evolution of bacteria,Clostridium kluyveri,Bacterial adhesion in aquatic system,Clostridium difficile toxin A,Spectral line,True,Enterocloster clostridioformis
level 5,8,Aerial photographic and satellite image interpretation,Kanban board,Chorba,Diabolo project,Esker,Unoprostone,Myelin,Perturbation theory (quantum mechanics),Aerial photographic and satellite image interpretation,True,Edition (publisher)
level 3,109,Lift (force),Prediction theory of law,Proper law,Legal terminology textbook,Anti-discrimination law,Property law,Law of Property (Miscellaneous Provisions) Act 1989,International Criminal Court investigations,Lift (force),True,Mistake of law
level 2,696,Pantoic acid,Dictionary of the Russian Language (Ozhegov),History of the Russian language,AP Russian Language and Culture,Geography of Russia,Economy of Russia,Russian studies,Demographics of Russia,Pantoic acid,True,Soviet Union in World War II
level 4,7,Threading (protein sequence),Discontinuous electrophoresis,Chemotherapy,Subcellular localization,Lipolysis,Adipic acid,Toss juggling,Carboplatin,Toss juggling,False,Hypostatic abstraction
level 3,245,Judgement,Correlation,Correlation ratio,Spatial correlation (wireless),Atomic form factor,Multiple factor analysis,Two-factor theory,Functional correlation,Judgement,True,Common factors theory
level 1,8010,Disjoint-set data structure,Career Pathways,Career assessment,Career guide,Career development,Career management,Career,,Disjoint-set data structure,True,
level 3,367,Eleatics,Green politics,Green computing,Green supply chain management,Green infrastructure,Green's theorem,Green accounting,Green's function (many-body theory),Eleatics,True,Green urbanism
level 1,3550,Architectural designer,Ding language,Boga language,Dewoin language,Dawera-Daweloor language,Lillooet language,Dâw language,,Architectural designer,True,
level 2,1596,Protein trimer,Science education,Learning Lab,BSCS Science Learning,Domestic Science and Manual Training School,Technology education,Manual Career & Technical Center,Education sciences,Protein trimer,True,Information-Technology Engineers Examination
level 4,32,Ancient Orient Museum,Czech language,Old Europe (archaeology),Dictionary of the Russian Language (Ozhegov),Medieval French literature,Albanian language,Certification of Italian as a Foreign Language,European Community number,Scandinavian studies,False,Scandinavian studies
level 3,23,Laminar flow,Protein–DNA interaction site predictor,RNA polymerase,Recombination (cosmology),Genome instability,Comparative genomics,Genetically modified food in the European Union,Global Genes,Laminar flow,True,Bisulfite sequencing
level 3,41,Vehicle-specific power,Plant secondary metabolism,Transduction (physiology),Fructose malabsorption,Proteinase 3,Subcellular localization,Adiabatic circuit,Enzyme,Vehicle-specific power,True,Guanosine pentaphosphate
level 2,1429,Compatibility of C and C++,Column (formation),Column still,Column generation,Column,Infernal columns,Row- and column-major order,Columnar phase,Compatibility of C and C++,True,Row and column vectors
level 1,9071,Medical prescription,Paddling,Lightweight rowing,Rowing,,,,,Medical prescription,True,
level 5,2,ENT,Contact scraping,Mass flow meter,Gas to liquids,Thermoacoustic imaging,First law of thermodynamics,Fluid Science Laboratory,Timeline of carbon capture and storage,ENT,True,Issues relating to biofuels
level 5,3,Phases of speech,Nonlinear photonic crystal,Kink (materials science),Plastic welding,Post-transition metal,Separation of powers,CPU core voltage,Circular dichroism,Phases of speech,True,Superradiance
level 2,1423,Anticoagulant,Overlaying,Icon (computing),Systematic layout planning,Overlay (programming),Iconography,Profile (engineering),Dashboard (business),Anticoagulant,True,Gadget (computer science)
level 3,412,Public research and development,Minor league football (gridiron),Sports in colonial times in Singapore,Passing (association football),Basket option,Internazionali di Tennis di Manerbio – Trofeo Dimmidisì,American League Championship Series,Sports Day (Japan),Public research and development,True,Volleyball (ball)
level 1,4005,Industrial Commission,Archimedes' principle,Arch,Archimedean property,Intermediate Model for the Arch,Archinaut,Architextiles,Four-centred arch,Industrial Commission,True,
level 4,47,Neutral particle,Precision-guided munition,Size,Equidensitometry,Calibrated probability assessment,Mass in general relativity,Mass drawing,Length measurement,Calibrated probability assessment,False,Microphysiometry
level 1,1105,Neoclassical synthesis,Lake Phelps,Tiger Lake,,,,,,Neoclassical synthesis,True,
level 3,407,Complex differential form,Organizational safety,Safety integrity level,Reliability (statistics),Ensure,Prevention First,Ecological resilience,SHIELDS,Complex differential form,True,Software assurance
level 3,280,Small modular reactor,Hard disk drive performance characteristics,Comparison of structured storage software,Solid-state storage,Hi Performance FileSystem,Extensible Data Format,Drive theory,Filesystem Hierarchy Standard,Small modular reactor,True,Self storage
level 2,500,EDEM3,Evidence,Evidence Act 2006,Evidence-based policy,Hierarchy of evidence,Policy-based evidence making,Evidence-based medicine,Real evidence,EDEM3,True,Evidence (law)
level 3,314,WiTrack,Commons-based peer production,Private collection,Trade secret,Confidential computing,Peer pressure,Private copying levy,Sharing,Peer pressure,False,Private network
level 4,79,Inorganic nonaqueous solvent,Organizational safety,Safety integrity level,Quantitative risk assessment software,Risk society,Ecological resilience,IT risk,Crash test dummy,Inorganic nonaqueous solvent,True,Range safety
level 4,61,Vietnamese democracy movement,Occupational therapy,Production line,International Society of Logistics,Industrial and production engineering,Means of labor,Manufacturing in Japan,International Manufacturing Technology Show,Occupational therapy,False,Industrial technology
level 4,18,Sole proprietorship,Ion exchange,Test particle,Subatomic particle,External beam radiotherapy,Ion transport number,Cosmic neutrino background,Nuclear reactor safety system,Sole proprietorship,True,Nuclear reaction
level 2,1512,Earthworks (archaeology),Fast Analog Computing with Emergent Transient States,Incrementalism,Destructor (computer programming),Compatibility of C and C++,Pointer (computer programming),C-stand,Constant (computer programming),Earthworks (archaeology),True,Pointer analysis
level 3,333,Pantoic acid,Strategic design,Resource-oriented architecture,Strategic communication,The Juridification of Resource Conflicts,Human resources,Human resource policies,Strategic business unit,Pantoic acid,True,Strategic Studies Institute
level 4,50,Structural change,Business network,Commercialization of the Internet,Digital Revolution,Mobile service,Compositional pattern-producing network,OpenOffice.org,Wireless broadband,Telematics,False,Telematics
level 1,6137,Philosophy for Children,Argument from fallacy,Formal fallacy,,,,,,Philosophy for Children,True,
level 2,120,Tychonoff's theorem,Cheesemaking,Cream cheese,Cheese,Cheese ripening,Types of cheese,Acid-set cheese,Mozzarella,Tychonoff's theorem,True,Gruyère cheese
level 2,920,BitTorrent,Multilayer perceptron,Perspectivism,Peracarida,Peribacillus,Periphyton,Perophora namei,Perforin-1,BitTorrent,True,Perko
level 4,8,Mechanics of planar particle motion,Hydrographic survey,Internal waters,Water safety,Drinking water,Retention basin,River Reservoir,Waters' River,Mechanics of planar particle motion,True,River Braan
level 1,9951,Multiple rocket launcher,Control car,Car controls,,,,,,Multiple rocket launcher,True,
level 1,7348,Regulatory science,Rider optimization algorithm,Free-rider problem,,,,,,Regulatory science,True,
level 3,266,Asian studies,Mobile phone tracking,.tel,Mobile service,Tablet (pharmacy),Telematics,Nokia E61,Smart Mobility Architecture,Asian studies,True,Model for assessment of telemedicine
level 4,57,Immigration law,Loyalty program,Business plan,Marketing mix,Business requirements,Customer dynamics,Internal Market Information System,Know your customer,Immigration law,True,Marketing communications
level 2,867,T-symmetry,Excimer,Excipient,Abrasion (mechanical),Elution,Argovian Formation,Exegesis,Abrasive,ARPA-E,False,ARPA-E
level 3,177,Light Scattering Spectroscopy,Philological Library,Source criticism,Pan-Romance language,Commentary (philology),Prosector,Shakespeare's influence,History of literature,Prosector,False,Literary theory
level 2,1936,Institutionalism in political parties,Study of animal locomotion,Aquatic locomotion,Fish locomotion,Terrestrial locomotion,Animal locomotion,,,Institutionalism in political parties,True,
level 4,73,Hard problem of consciousness,Military aviation,Respiratory examination,Automated Flight Following,Complex plane,Royal Aircraft Factory B.E.2,Flight qualification,Modes of mechanical ventilation,Respiratory examination,False,Aircraft Structures Technician
level 2,961,Gradient-enhanced kriging,SIGCSE,Sievert,Aos Sí,N-heterocyclic silylene,SI base unit,SI derived unit,Sigmoid function,Aos Sí,False,Silvopasture
level 2,1447,Intertemporal CAPM,Processor (computing),CPU multiplier,Chip carving,Hardware register,System on a chip,Multi-core processor,Organ-on-a-chip,Intertemporal CAPM,True,Chip formation
level 2,938,Owner's manual,Clamp (tool),Clod,Patch clamp,Clampitt,Cleft lip and cleft palate,Cloture,Tympanic cavity,Owner's manual,True,CLARIN
level 4,27,Narcotic,Identity disorder,International Society of Critical Health Psychology,Perception training,Physiological psychology,Nonverbal autism,Mental mapping,Uniqueness type,Narcotic,True,Psychoacoustics
level 2,140,News design,Hemostasis,Intracerebral hemorrhage,Oxygen–hemoglobin dissociation curve,Hematocrit,Hematopathology,Sick building syndrome,Sickle cell disease,News design,True,Carboxyhemoglobin
level 1,459,Transformity,Stem mixing and mastering,Plant stem,Stem-and-leaf display,,,,,Transformity,True,
