cluster_level,cluster,random_topic,topic1,topic2,topic3,topic4,topic5,topic6,choice,is_right,topic7,topic8
level 4,33,European Movement in Scotland,Translation management system,Koine Greek,Jê languages,User interface markup language,Shared Source Common Language Infrastructure,The Spelling Mistakes,,,Secondary Level English Proficiency test,Englishry
level 4,44,Stereo imaging,Preclinical development,Proletariat,Conciliatory Resolution,Mergers and acquisitions,Narrativity,Changeup,,,Switchgear,Transfers per second
level 4,84,Technology during World War I,Location test,Placé,Position paper,Spatial resolution,Integrated Geo Systems,United Nations Spatial Data Infrastructure,,,Geochemical cycle,Geographic information system
level 1,10702,Litz,Yifeng County,Yutai County,,,,,,,,
level 4,90,Pharmaceutical formulation,Discourse on the Arts and Sciences,International Museum Day,Library instruction,Support (art),Funerary archaeology,Centre for Excellence in Teaching and Learning through Design,,,Accidental damage of art,Section (archaeology)
level 2,991,Bridge maintenance,Petronel,Petasin,Petrovče,Petroglyph,Petri net,Petrel,,,Algebraic Petri net,PET
level 4,57,Vehicle emissions control,Product-family engineering,Popular education,Overstock,Product differentiation,Solution selling,Product information management,,,Consumer protection,Marketing science
level 4,7,Cramer's rule,Isobaric process,Human Metabolome Database,Magnesium sulfide,ChemDraw,Blastomere,Blood stasis,,,Phospholipid,Xenophilia
level 4,87,Implicit attitude,Intentional camera movement,Volume mesh,Graphics library,Image formation,Physical mapping,2D computer graphics,,,Camera auto-calibration,Visual literacy
level 2,135,Agriculture in California,Fungiculture,Fungal genome,Sterile fungi,Mushroom gene,FunGals,Edible mushroom,,,Fungal Diversity Survey,Wood-decay fungus
level 4,86,Identifiability analysis,Environmental Media Services,Geography of media and communication,In-flight entertainment,Public broadcasting,Entertainment technology,History of journalism,,,Documentary evidence,IP multicast
level 2,1836,Cell junction,Animal genetic resources for food and agriculture,Plant evolution,Plant evolutionary developmental biology,Plant genetics,European Association for Research on Plant Breeding,Plant development,,,Evolutionary history of plants,Plant breeding
level 2,262,Compliant mechanism,TEMPUS,Human body temperature,Planetary equilibrium temperature,Vibrational temperature,Inversion temperature,Kelvin equation,,,Kelvin,Noise temperature (antenna)
level 5,3,Laï,Medical imaging,Nuclear power in Germany,Standard enthalpy of reaction,High-entropy alloy,International Mass Spectrometry Foundation,Irreversible process,,,Aperture (antenna),Blade element theory
level 1,1108,Ideal type,Mureș (river),Lim (river),Shouchang River,Ob (river),Ros (river),Izh (river),,,St. Lawrence River,Gállego (river)
level 3,308,Ubiquitin-like protein,Relevant market,Overstock,Hypermarket,Market participant,Market analysis,Market production,,,Dumping (pricing policy),Smart market
level 3,190,Intercultural communication,General Orders for Sentries,Express mail,Business letter,Continuous ink system,Software bot,Email marketing,,,The Dot (computer),Handwriting recognition
level 2,202,Arab Spring,Artificial enzyme,Industrial enzymes,Enzyme Commission number,Enzyme activator,Enzyme Function Initiative,Enzyme inhibitor,,,Enzyme kinetics,Enzyme
level 2,1951,Proof without words,Innovative Leisure,Recreation resource planning,Recreational Demonstration Area,Sociology of leisure,Leisure Leagues,Recreation,,,Leisure,Leisure Class
level 3,355,Team programming,Dock,Fusō-class battleship,USS Harry F. Bauer,SS Lord Kelvin,Bayard–Condict Building,Marine Corps Air Station Ewa,,,USS Franklin (CV-13),USS General O. H. Ernst
level 1,3456,Podcast,Culture of Poland,Cultural history of Poland,Law of Poland,Politics of Poland,History of Poland,,,,,
level 3,327,Spatial planning,Field inventory management,Wagonload freight,Supply Chain Issues Tour,Logistics Performance Index,Performance-based logistics,Supply chain finance,,,Chartered Institute of Logistics and Transport,Third-party logistics
level 4,8,Athletics in Germany,Lists of rivers,Water intoxication,Prior-appropriation water rights,Reservoir engineering,Mureș (river),SMS (hydrology software),,,Drainage system (geomorphology),Drainage
level 3,421,Genitourinary system,Trade study,Balance of trade,Tariff-rate quota,Trade route,Institute for Free Trade,World Trade Organization Dispute 160,,,Global Environment and Trade Study,Restraint of trade
level 3,274,Culture of Poland,TRACE (psycholinguistics),Trace theory,Cross-industry standard process for data mining,Produce traceability,Extraction (chemistry),Deconstruction (building),,,Examples of data mining,Text mining
level 3,208,Gammatone filter,Signal integrity,Standard frequency and time signal service,Receiver (statue),Rake receiver,Biconical antenna,Amplitude,,,Statistical interference,Gaussian noise
level 2,500,Distributed Access Control System,Evidence-based design,Evidence-based assessment,Evidence Act 2006,Hierarchy of evidence,Exculpatory evidence,Evidence-based library and information practice,,,Evidence-based nursing,Evidence-based medicine
level 3,271,Local outlier factor,Virtual geographic environments,Physical-to-Virtual,VRPN,Virtualization,Virtual world framework,Virtual business model,,,Data virtualization,Virtual economy
level 1,1037,NGSmethDB,Butyric acid,Squaric acid,Pyruvic acid,Polylactic acid,Poly(methacrylic acid),,,,,
level 4,34,Deficit spending,Korean name,Northeast Project of the Chinese Academy of Social Sciences,Constitution of the People's Republic of China,Sihai Huayi Zongtu,China Factory (restaurant),Japanese American National Library,,,China Investment Promotion Agency,Chinas
level 1,197,Functionalism (philosophy of mind),Antimony,Antimonial,Pentavalent antimonial,Indium antimonide,,,,,,
level 2,1584,Genome architecture mapping,School Based Prevention Programs,English-medium education,Secondary School Leaving Certificate,School integration in the United States,Doubting Antiquity School,Bridgton Academy,,,Public school funding in the United States,Independent Working Class Education
level 5,7,Structural formula,Bjarne Hansen,History of Italian citizenship,Nachrichtendienstliches Informationssystem,Telugu language,Museum of Modern Egyptian Art,Bulgarian vocabulary,,,Egypt–Israel barrier,1620s in architecture
level 4,26,Endoscopy,Interface metaphor,Communication complexity,Abstract data type,Axiomatic design,Computational lexicology,Exclusion clause,,,Communication design,Generative semantics
level 1,8947,Project identification,Proposal (business),Proposal theme statement,Request for proposal,Proposal software,,,,,,
level 1,9867,Bassoon,Headphones,Head,Machine head,Headlamp,,,,,,
level 1,7794,Christianity and Islam,Accounting rate of return,Rate of return,Internal rate of return,Return ratio,,,,,,
level 3,38,Rank–size distribution,Hydrometeor loading,Metal hydride fuel cell,Sulfonamide,Desulfurization,Chaotic hysteresis,Sulfite sulfate,,,Hypothetico-deductive model,Oxygen saturation (medicine)
level 4,40,Blood-oxygen-level-dependent imaging,Musical expression,Trumpet,In Harmony (music education project),Reference tone,Rhythm section,Avant-garde music,,,Mozart!,Gesellschaft der Musikfreunde
level 3,107,Package testing,Current use,Ferroelectric RAM,Residual-current device,Relaxor ferroelectric,Universal dielectric response,Wetting current,,,Conserved current,Hydraulic conductivity
level 4,75,Mitogen-activated protein kinase,Sensobiographic walking,Twisting properties,Office chair,Pareto efficiency,Necklace splitting problem,Parking space,,,Acceleration,Fuzzy rule
level 5,14,Front and back,Test statistic,Popular education,Selection in planning,Productivity-improving technologies,European Union Intellectual Property Office,Integrated resource planning,,,Marketing management,Charbonneau Commission
level 2,1180,Dental restoration,Exceptional case-marking,Brook's New Cases,Case interview,Case report,Case series,Case-based reasoning,,,Advanced case management,Hard cases make bad law
level 5,15,Computer-aided assessment,Fetal bovine serum,Air Quality Egg,Agriculture in Concert with the Environment,Kazachstania yasuniensis,Aquatic Species Program,Species complex,,,Social ecological model,Alcanivoracaceae
level 3,337,Kill,Health Intervention and Technology Assessment Program,Innovation system,Best available technology,Innovation,Alternative technology,Informal technical report,,,Deep tech,Open innovation
level 4,50,Molecular orbital,Underwater Port Security System,Teletraffic engineering,Common Industrial Protocol,Digital world,Network Equipment-Building System,Multiple-channel architecture,,,Transmission Control Protocol,Packet over SONET/SDH
level 2,1838,Anomalepis,Grounds,Garden,New Hedges,Physic garden,Orchard Project,City Garden,,,The Hedges,Garden tool
level 4,68,Block Exemption Regulation,Marine propulsion,Fishbowl,North Sea,Age determination in fish,Dock,Squid,,,Ocean dynamics,Fusō-class battleship
level 5,11,People skills,Raw image format,Loop modeling,Infernal columns,Climm,Constraint automaton,Integrated software,,,Computer-aided engineering,T8
