cluster_level,cluster,choice,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16,topic17,topic18,topic19,topic20,topic21,topic22,topic23,topic24,topic25,topic26,topic27,topic28,topic29,topic30,topic31,topic32,topic33,topic34,topic35,topic36,topic37,topic38,topic39,topic40,topic41,topic42,topic43,topic44,topic45,topic46,topic47,topic48,topic49,topic50,topic51,topic52,topic53,topic54,topic55,topic56,topic57,topic58,topic59,topic60,topic61,topic62,topic63,topic64,topic65,topic66,topic67,topic68,topic69,topic70,topic71,topic72
level 1,4243,Veltruby,Veltruby,Vedanga,Verl,Generalized Verma module,Verlet list,Venality,Vel,Vensim,Vedas,Veneration,Verlinde algebra,Verilog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1263,Asymptotic computational complexity,Asymptotic computational complexity,Assimilation (phonology),Téoulier,Local nonsatiation,Growing degree-day,Univariate (statistics),Maturationism,Asymptotic dimension,Discretization,Asymptotic freedom,Non-commercial activity,Rate of natural increase,Temporal discretization,Recension,Optimal discriminant analysis and classification tree analysis,Discretization error,Discriminative model,Counterproliferation,Counterinsurgency,Low-discrepancy sequence,Assimilation (biology),Recurrence relation,Homoscedasticity and heteroscedasticity,Data assimilation,Atelier,Recurrent point,Licentiate (degree),Recurrence quantification analysis,Discrepancy theory,Inculturation,Recurrent word,Univariate,Asymptotic analysis,Recapitulation theory,Linear discriminant analysis,Renninger negative-result experiment,Rapid intensification,Downregulation and upregulation,Nonstandard analysis,Asymptotic expansion,Local outlier factor,Classification of discontinuities,Autoregressive conditional heteroskedasticity,Heteroskedasticity-consistent standard errors,Asymptotic theory (statistics),Asymptotic distribution,Ordination (statistics),Outlier,Asymptotic giant branch,Asymptotic gain model,Discriminant,Linear recurrence with constant coefficients,Regression discontinuity design,Nõnova,Asymmetric simple exclusion process,Asymptotic equipartition property,,,,,,,,,,,,,,,,
level 1,6813,Security,Security,Security management,Security question,Security testing,Security studies,Security policy,Operations security,Security detail,New security concept,Security level management,Security engineering,Security analysis,Human security,Security level,Indivisible security,Delivering Security in a Changing World,IT security standards,Security culture,Physical security,Fabric of Security,ITIL security management,Security through obscurity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1836,Plant reproduction,Plant reproduction,Plant breeding,Genetic resources,Plant evolution,Plant development,Forest genetic resources,Plant genetics,Plant reproductive morphology,Animal genetic resources for food and agriculture,International Treaty on Plant Genetic Resources for Food and Agriculture,Plant genetic resources,1000 Plant Genomes Project,Plant Genome Mapping Laboratory,Plant evolutionary developmental biology,Plant embryonic development,Evolutionary history of plants,Plant genome assembly,History of plant breeding,European Association for Research on Plant Breeding,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1891,Operator space,Operator space,Abstract space,Space (mathematics),One-dimensional space,Ringed space,Atomic spacing,Three-dimensional space,Simple space,Symmetric space,Measure space,ESPACE,Classifying space,DSPACE,Dual space,Confined space,Spaces (software),Scattered space,Space syntax,Voxel Space,Covering space,Workspace,Strong dual space,Homogeneous space,Tychonoff space,Latent space,Function space,Compact space,Studio Other Spaces,Extremally disconnected space,Paracompact space,PSPACE,Cotangent space,Lp space,Address space,Parameter space,Schwartz space,Anti-de Sitter space,Triebel–Lizorkin space,Compactly generated space,Spacing effect,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,391,Scattering,Polymer scattering,Light Scattering Spectroscopy,Electron scattering,Low-energy ion scattering,Scattering length,Scattering-matrix method,Light scattering by particles,Small-angle scattering,Scattering,Dynamic light scattering,Static light scattering,Carrier scattering,Scattering amplitude,Inverse scattering problem,Bhabha scattering,Mie scattering,Multiple scattering theory,Deep inelastic scattering,Umklapp scattering,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,395,Rayleigh scattering,Rayleigh scattering,Spin Hall effect,Compton scattering,Quantum spin Hall effect,Cherenkov radiation,Quantum Hall transitions,Electric ray,Quantum Hall effect,Ray tracing (physics),Ray tracing (graphics),Compton–Getting effect,Hall effect sensor,Rayleigh quotient iteration,Hall effect,Cherenkov detector,Van Allen radiation belt,Rayleigh–Ritz method,Hall–Héroult process,Rayleigh problem,Detection of internally reflected Cherenkov light,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,3677,Kannada,States of India by Kannada speakers,Kannada literature,Telugu-Kannada alphabet,Telugu language,Kannada dialects,Modern Kannada literature,Kannada,Kannada script,Kannada grammar,Kannada in computing,Extinct Kannada literature,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,10772,Downtown,Downtown,"Center City, Philadelphia",Town square,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1967,Window,Insulated glazing,Grating,Double-slit experiment,Window shutter,Shutter speed,Window function,Process Window Index,Windowing system,Window,Burst error-correcting code,Modal window,X Window selection,Glazing (window),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,4147,PEPA,PEPA,Pepes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,8489,Productionisation,Productionisation,Relations of production,Factors of production,Means of production,Production order,Mode of production,Methods of production,Production function,Continuous production,Production leveling,Production report,Primary production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,556,Reproduction,Sexual reproduction,Evolution of sexual reproduction,Reproduction,Infertility,Social reproduction,Sexual and reproductive health,Reproductive biology,Modes of reproduction,Fertility,Reproductive medicine,Mammalian reproduction,Reproductive technology,Male reproductive system,Asexual reproduction,Human reproductive system,Reproductive system,Reproductive isolation,Reproductive rights,Development of the reproductive system,Natural fertility,Vegetative reproduction,Society for the Study of Reproduction,Assisted reproductive technology,Basic reproduction number,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,8287,Reward system,Reward system,Bonus share,Majority bonus system,Bonus,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1300,Counterargument,Counterargument,Counter-machine model,Refinement (computing),Refunctioning,Electronic countermeasure,Refinancing,Refinement type,Counter-development,Counterinduction,Countertrade,Electronic counter-countermeasure,Counterurbanization,Countermeasure,Counterpoint,Countersurveillance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1547,Project cost management,Project cost management,Marginal cost,Cost efficiency,Cost auditing,Price's model,Cost leadership,Cost of revenue,Cost accounting,Customer cost,Cost of transport,Quality costs,Transaction cost,Activity-based costing,Process costing,Cost,Cost And Management Accountant (India),Product cost management,Cost engineering,Economic cost,Cost approach,Budgeted cost of work performed,Cost curve,Cost–utility analysis,Direct costs,Variable costing,Cost-loss model,Direct labor cost,Cost estimation models,Cost of goods sold,Manufacturing cost,Cost reduction,Job costing,Reduced cost,Cost estimate,Total cost,Function cost analysis,Operating cost,Carrying cost,Cost–benefit analysis,Construction costs (biology),Indirect costs,Elemental cost planning,Cost centre (business),Direct materials cost,Total cost of ownership,Cost-effectiveness analysis,Cost overrun,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,850,Blue,Blue book,Blue,Blue law,Blue space,Engineer's blue,Blue Castle Project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1425,Advertising slogan,Advertising slogan,Hashtag,Poster session,Slogan,Tagging system,Poster,Billboard charts,Electronic tagging,Tagès,Wanted poster,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,4574,Al-Baqara,Al-Baqara,El Zarqa,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1107,Symmetry,Chiral symmetry breaking,Reflection symmetry,Mirror symmetry (string theory),Symmetry (geometry),Molecular symmetry,Symmetry group,Symmetry,Discrete symmetry,Symmetry in biology,Translational symmetry,Symmetry in quantum mechanics,Symmetry (physics),International Society for the Interdisciplinary Study of Symmetry,Plane symmetry,Symmetry breaking,CPT symmetry,Symmetry in mathematics,Continuous symmetry,Symmetry operation,C-symmetry,Spontaneous symmetry breaking,Symmetry number,T-symmetry,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,8069,Electrical technologist,Electrical technologist,Professional technologist,Certified Professional Electrologist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,2650,Bioethics,Bioethics,Center for the Study of Bioethics,Macroethics and microethics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,460,Dissection,Tunnel diode,Diophantine approximation,Divisor (algebraic geometry),Disulfide,Diophantine geometry,Dictation,Wafer dicing,Polynomial greatest common divisor,Dissection,The Dictation Lesson,Resonant-tunneling diode,Diction,Diuretic,Disinhibition,Elbling,Disilene,Dictation (exercise),DICOM,Deflection (engineering),Anode,Diode,Divović,Diophantine equation,IMPATT diode,Inflection,Divisor,Diode modelling,Greatest common divisor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,8094,Customer switching,Customer switching,Customer migration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1846,Soil,Soil enzyme,Soil texture,Soil biodiversity,Soil resilience,Plant nutrients in soil,Soil microbiology,Soil moisture,Soil carbon,Soil sealing,Soil moisture zone,Soil and Water Conservation Society,Soil,Soil governance,Agricultural soil science,Soil and Water Assessment Tool,Soil fertility,Soil gradation,World Reference Base for Soil Resources,Soil conservation,Soil thermal properties,Soil mechanics,Soil formation,Soil science,Soil color,Soil classification,Soil ecology,Soil matrix,Soil-plant-atmosphere continuum,Soil horizon,Soil map,Soil physics,Soil retrogression and degradation,Soil survey,Structural Soil,Soil production function,Soil regeneration,Constructed soil,Soil management,Soil structure,Environmental soil science,Digital soil mapping,Narragansett (soil),Soil acidification,Soil contamination,European Soil Database,Soil type,Soil Conservation and Domestic Allotment Act of 1936,Soil biology,Soil chemistry,Soil test,Physical properties of soil,International Soil Reference and Information Centre,Soil series,German Soil Science Society,National Cooperative Soil Survey,Tensiometer (soil science),Soil-structure interaction,Soil pH,Soil quality,Soil compaction,Soil functions,Soil consolidation,Plant–soil feedback,Soil stabilization,FAO soil classification,Soil policy in Victoria,1938 USDA soil taxonomy,Immobilization (soil science),Soil conditioner,Soil inference system,Multiscale European Soil Information System,Soil guideline value
level 2,1409,Data retrieval,Data retrieval,Information retrieval,Retrieval,Image retrieval,3D Content Retrieval,Retrieval Data Structure,Content-based image retrieval,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 2,1677,Cooperative diversity,Cooperative diversity,Cohabitation,Collective responsibility,Collective agreement,Cooperation (evolution),Collective bargaining,Cooperation,Solidarity economy,Collective impact,Cooperative,On Cooperation,Cooperative strategy,Communalness,Cooperativeness,Collective behavior,Cooperative learning,Collective motion,Enhanced cooperation,Cross-border cooperation,Cooperation between China and Central and Eastern European Countries,Cooperation procedure,Collective identity,Collective operation,CooperationWorks!,Cooperative education,Solidarity,Global Hybrid Cooperation,Showdown cooperative learning,Communal coping,Cooperative principle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
level 1,6030,Anthropomorphism,Anthropomorphism,Endomorphism ring,Anosov diffeomorphism,Endomorphism,Diffeomorphism,Hylomorphism,Biholomorphism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
